ich	I
einsam	lonely, isolated
Koch	cook
Handy	cell phone
Gebiet	area
Abteilung	department
Kohle	coal, money (coll)
springen	jump, skip
tausend	thousand
Staat	state
scharf	sharp; sharply
langweilig	boring; boringly
teuer	expensive; dearly
abends	every evening
ebenso	as well
herzlich	cordially; cordial
Publikum	audience
Hemd	shirt
beten	pray
Stuhl	chair
Krankheit	illness
einander	each other
womit	with what
klug	clever; cleverly
Inspektor	inspector
selbstverständlich	of course; natural
jedoch	however
berufen	appoint; competent
schweigen	be silent; silence
Nachbar	neighbor
zählen	count
Song	song
trotz	despite; defiance
entlassen	dismiss
begraben	bury
Winter	winter
Vorstellung	idea, presentation
dadurch	in that
abholen	pick up
Medizin	medicine
schwach	weak; weakly
Rechnung	bill
wundervoll	wonderful; wonderfully
beinahe	almost
Presse	press
seitdem	since
Zunge	tongue
wirken	work; appear
spiegeln	reflect
handeln	act; concern
neulich	the other day
Streit	dispute
aufmachen	open; head off
bemerken	notice
Toilette	toilet
Trick	trick
freundlich	friendly; kindly
knapp	barely; tight
annehmen	accept
Termin	appointment, deadline
amen	amen
unschuldig	innocent; innocently
frisch	fresh; fresh
Bauch	stomach
decken	cover
überprüfen	check
Aufmerksamkeit	attention
Führer	leader, guide
vorbereiten	prepare
Hintergrund	background
reiten	ride (a horse); riding
außerhalb	outside
irgendjemand	somebody
Tatsache	fact
lösen	solve
Roboter	robot
drücken	press
nieder	low; down
erwachsen	adult; grow (up)
pressen	press, push
klauen	steal (coll.)
nackt	naked
unterschreiben	sign
vergeben	forgive, assign
Treppe	stairs
Erklärung	explanation
wild	wild; deer
Decke	blanket
spannend	exciting
Montag	Monday
Programm	program
lebendig	alive
bieten	offer, provide
Einsatz	use, commitment
peinlich	embarrassing
Wüste	desert
Schnee	snow
besprechen	discuss
Signal	signal
blau	blue; drunk (coll)
überzeugt	convinced
trauen	trust
wachen	(keep) watch
vorn(e)	at the front
zwölf	twelve
fremd	foreign, alien
ausgezeichnet	excellent; excellently
mehrere	several
hingehen	go (there)
eifersüchtig	jealous; jealously
hinterher	behind, afterward
behandeln	treat
ertragen	bear
desto	all the
zurückkommen	come back
Bedingung	condition
Unrecht	injustice; wrong
jederzeit	(at) any time
matt	matt, dull
nirgendwo	nowhere
auseinander	apart
offenbar	apparently; apparent
ausgehen	go out
selten	seldom; rare
schlau	smart; cleverly
wählen	choose
Truppe	troops
gebrauchen	use
packen	pack, grab
landen	land
Bedeutung	meaning
amerikanisch	American
betreffen	affect
Jacke	jacket, coat
(he)reinkommen	come in
streiten	argue
fressen	eat (coll), devour
greifen	grip, reach
Erlaubnis	permission
Bahn	railroad, train
kontrollieren	check, control
Kuh	cow
Träne	tear
Geschmack	taste
schief	crooked; awry
dritter	third
ernsthaft	seriously; serious
dennoch	yet; still
Absicht	intention
stechen	stab; sting
Labor	laboratory
extra	extra
Eindruck	impression
anscheinend	apparently; apparent
verhindern	prevent, stop
weitermachen	carry on
Prozent	percent
schneiden	cut
verwirrt	confused
erfreut	pleased
erwähnen	mention
Mühe	effort
Code	code
Linie	line
trennen	separate
Gift	poison
aufregen	upset, excite
Brief	letter
probieren	try, test
weiterhin	further on
begleiten	accompany
Zucker	sugar
angehen	address, approach
erleben	experience
fliehen	escape
Untersuchung	investigation, examination
Stil	style
Kiste	box
Flucht	escape
hungrig	hungry; hungrily
Kleidung	clothes
menschlich	human; humanly
innerhalb	within; inside
gleichzeitig	at the same time; simultaneous
Beeilung	hurry (up)
Projekt	project
null	zero
irgendein	any
Gerechtigkeit	justice
grün	green
Ei	egg
spitze	great (coll); tip
anziehen	attract, put on
(he)rein	in, purely; pure
heutzutage	nowadays
Not	need, distress
wahren	maintain
getrennt	separated; separately
punkten	score
raten	advise, guess
gründen	establish
treiben	drive, push
Strom	current, electricity
fett	fat
enttäuscht	disappointed
ankommen	arrive
Mittag	noon
Explosion	explosion
locker	loose; loosely
Gnade	mercy
zuhören	listen
beobachten	observe
fein	fine; finely
klopfen	knock
Künstler	artist
gemein	mean, common; wickedly
zuletzt	last, in the end
schnappen	grab, catch
eilig	urgent, in a hurry
festhalten	hold
Scheck	check
Person	person
dahinter	behind it
Bürger	citizen
Gegenteil	opposite
geöffnet	open
dicht	dense; densely
französisch	French
d(a)rum	about it
aufnehmen	take, record
Benehmen	behavior, behave
Magen	stomach
Hof	yard
erfüllen	meet, fulfill
verteidigen	defend
Hütte	hut
verbunden	connected
gesamt	entire
Fabrik	factory
wiederholen	repeat
spazieren	walk, stroll
befreien	free
abgeschlossen	enclosed, closed
Titel	title
inzwischen	meanwhile, by now
Uniform	uniform
Kollege	colleague
streng	strictly; strict
wechseln	change
Benzin	petrol
bestellen	order
starten	start
anfassen	touch
praktisch	practically; practical
abmachen	arrange, remove
vernichten	destroy
waschen	wash
überlassen	leave
vernünftig	reasonable; sensibly
dauernd	constantly; continuous
untersuchen	examine
herkommen	come here; origin
begegnen	meet
wachsen	grow
ebenfalls	also, likewise
spüren	feel
Freundschaft	friendship
antun	do (to)
riskieren	risk
Markt	market
Cousin	cousin
Aufnahme	admission, recording
derjenige	the one who
Sand	sand
Narr	fool
verschieden	different; differently
Müll	garbage
stets	always
Studio	studio
geheim	secret; secretly
Ratte	rat
ergeben	result in; devoted
entwickeln	develop
Figur	figure
bewusst	aware; consciously
Datum	date
Scheidung	divorce, separation
reparieren	repair
geil	awesome; horny (coll)
überzeugen	convince
hundert	hundred
Verbrecher	criminal
ruinieren	ruin
umgehen	handle, bypass
empfangen	receive
Universum	universe
Schrank	cabinet
Reifen	tire; mature
täglich	daily; every day
erfinden	invent
zurückkehren	return
Besitzer	owner
achten	respect, pay attention
Notfall	emergency
möglicherweise	possibly
gratulieren	congratulate
Gesundheit	health
anstatt	instead of; rather than
Ware	goods
deutlich	clearly; clear
berühmt	famous
rechtzeitig	in time; timely
bestens	very well
vereinigen	unite
einst	once
lebend	alive
West	west
Mitglied	member
gegenseitig	each other; mutual
akzeptieren	accept
neugierig	curious; curiously
warnen	warn
aufwachen	wake up
daneben	next to it
Beerdigung	funeral
geraten	get; advisable
Kreuz	cross
besitzen	own
erschaffen	create
brav	good, wellbehaved
befinden	be situated; decide
komplett	complete, completely
eng	tight; closely
Theorie	theory
Pilot	pilot
lärmen	make a noise
wonach	for what
Gedanke	thought
meistens	mostly
entspannen	relax
Realität	reality
zwingen	force
äußerst	extremely; exceeding
beschließen	decide
Ursache	cause
zulassen	let, admit
Schuss	shot
angenehm	pleasant; pleasantly
Suppe	soup
Land	country
Unterstützung	support
übergeben	hand over; vomit
jagen	hunt
eilen	hurry
Sicht	view
Verteidigung	defense
sexy	sexy
immerhin	at least
Flügel	wing
aufregend	exciting
Krebs	cancer, crab
Knopf	button
Verabredung	appointment
auftreten	occur
Stellung	position
negativ	negative; negatively
richten	focus
Bahnhof	station
fähig	capable
Krankenwagen	ambulance
Manager	manager
Text	text
Gedächtnis	memory
erscheinen	appear
Wissenschaft	science
ausziehen	take off, move out
Bande	gang
prost	cheers
rosa	pink
umdrehen	turn
beantworten	answer
Leidenschaft	passion
berühren	touch
Unterhaltung	entertainment, conversation
Donnerstag	Thursday
Gesetz	law
berichten	report
Start	start
loswerden	get rid of
Zweck	purpose
mieten	rent
sicherlich	certainly
Revolution	revolution
Pizza	pizza
schenken	give
plus	plus
Virus	virus
stammen	come
Kanone	gun
malen	paint
erstaunlich	amazing; surprisingly
bestrafen	punish
Versagen	failure, fail
geliebt	beloved
Schauspieler	actor
unglücklich	unhappy; unhappily
Reporter	reporter
taub	deaf
konzentrieren	concentrate
beeindrucken	impress
Braut	bride
kompliziert	complicated
jener	that
Vermögen	fortune; achieve
Legende	legend
Wut	anger
fällen	make, fell
Seil	rope
knarren	creak
Einstellung	attitude, setting
hässlich	ugly
Viertel	quarter
behaupten	claim
verurteilen	condemn
Höhe	height
Jungfrau	virgin
Anweisung	instruction
Schulter	shoulder
gewöhnen	get used to
Applaus	applause
Mittel	means; medium
innen	inside
Japan	Japan
Stärke	strength
Klinik	clinic
per	by, per
verbrennen	burn
sparen	save
urteilen	judge
klären	clarify
anschauen	look at
Einladung	invitation
zusehen	watch
Milliarde	billion
entfernen	remove
Ruhm	fame, glory
bewahren	preserve, keep
Verdacht	suspicion
Fan	fan
studieren	study
Belohnung	reward
heben	lift
Bereich	area
Universität	university
Hügel	hill
Sünde	sin
erfolgreich	successfully; successful
hervorragend	excellent; excellently
Regen	rain; move
Tunnel	tunnel
einsperren	lock up
albern	silly
Ausweis	ID
aussteigen	get off, exit
weitergehen	go on
elf	eleven
See	sea; lake
Angelegenheit	matter
bequem	comfortably; comfortable
Posten	post; item
weich	soft; smoothly
nass	wet
einkaufen	shop; shopping
Puppe	doll
duschen	shower
daheim	at home
(he)rauskommen	come out
erstens	first(ly)
Mauer	wall
korrekt	correctly; correct
überfallen	attack
Lektion	lesson
live	live
Konzert	concert
beibringen	teach
Schild	sign; shield
wenden	turn
Öffentlichkeit	public
mutig	brave; bravely
Schwanz	c*ck (coll), tail
Kreis	circle
verabschieden	say goodbye; pass
Tiger	tiger
Museum	museum
Dusche	shower
eindeutig	clearly; unique
segnen	bless
offiziell	officially; official
steuern	control
lecker	delicious
Krone	crown
Roman	novel
nix	nothing (coll)
Material	material, stuff
Kühlschrank	fridge
unheimlich	scary; incredibly
kreisen	circle
Drache	dragon
prüfen	check
Liebhaber	lover
real	real
verdächtigen	suspect
betreten	enter; embarrassed
Palast	palace
anbieten	offer
Wunde	wound
Warnung	warning
September	September
begeistert	excited; enthusiastically
Umstand	circumstance
Regisseur	director
ausgerechnet	just, of all
Behandlung	treatment
telefonieren	phone
spanisch	Spanish
weggehen	leave
Fieber	fever
Verfügung	disposal
gewohnt	usual, accustomed
Charakter	character
folgend	following
nebenan	next door, alongside
unterstützen	support
Modell	model
verwenden	use
Kopie	copy
Pille	pill
Paradies	paradise
Haken	hook
zugeben	admit, add
Furcht	fear
definitiv	definitely; definite
Versicherung	insurance
hinsetzen	sit down
loslassen	let go
aufgrund	because of
Asche	ash
kichern	giggle
bestätigen	confirm
dramatisch	dramatic; dramatically
Training	practice
besiegen	defeat, beat
pünktlich	on time; punctual
sammeln	collect; gather
Technik	technology
beleidigt	offended; sulkily
Höhle	cave
Laster	truck (coll)
wovor	of what
seufzen	sigh
üben	practice
übersetzen	translate
voran	forward
Gewicht	weight
schocken	shock
zentral	central; centrally
Ankunft	arrival
Konto	account
senden	send
besessen	obsessed
schmutzig	dirty
Hafen	port
Verlust	loss
Zugang	access
jenseits	beyond
Apparat	device
Führerschein	driver's license
freiwillig	voluntary; voluntarily
Antrag	request
Gewinner	winner
pleite	broke (coll); bankruptcy
Senator	senator
sowie	as well as
genügen	suffice
Terrorist	terrorist
zweitens	secondly
Stift	pen
widerstehen	resist
verabreden	arrange
Zentrale	headquarters
einstellen	adjust, hire; appear
räumen	vacate
